epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,168.179,1.60618,2.99167,0.33799,1.66897,1.34169,0.22505,0.30155,0.1431,0.06122,0.1318,0.22912,0.08887,0.04595,2.14862,4.6066,0.14239,3.96014,1.77806,0.0008713,0.0008713,0.0008713
28,172.218,1.54557,2.96458,0.3264,1.60955,1.29787,0.12185,0.31157,0.11057,0.05315,0.15347,0.23587,0.10016,0.04874,2.29862,4.60519,0.15984,3.91363,1.86522,0.000898838,0.000898838,0.000898838
29,176.575,1.57949,2.85744,0.30202,1.61909,1.30279,0.12185,0.31157,0.11057,0.05315,0.15347,0.23587,0.10016,0.04874,2.29862,4.60519,0.15984,3.91363,1.86522,0.000926005,0.000926005,0.000926005
30,181.395,1.6521,2.97702,0.28566,1.59091,1.30428,0.17176,0.28064,0.13912,0.06807,0.16288,0.24188,0.13235,0.06139,2.06866,4.32037,0.14824,2.92625,1.70824,0.000952801,0.000952801,0.000952801
31,185.477,1.64405,3.02907,0.29996,1.62655,1.30786,0.20495,0.23184,0.14901,0.07199,0.15425,0.25593,0.13993,0.06732,2.0514,4.22299,0.15332,2.69346,1.69111,0.000979225,0.000979225,0.000979225
32,189.593,1.59986,2.8992,0.32238,1.57396,1.32161,0.16689,0.27783,0.14346,0.0653,0.14712,0.20823,0.11935,0.0606,2.10339,4.34706,0.14276,2.52775,1.73934,0.00100528,0.00100528,0.00100528
33,193.981,1.59845,2.82522,0.29987,1.56773,1.31371,0.16689,0.27783,0.14346,0.0653,0.14712,0.20823,0.11935,0.0606,2.10339,4.34706,0.14276,2.52775,1.73934,0.00103096,0.00103096,0.00103096
34,199.084,1.60631,2.79284,0.28867,1.61805,1.29318,0.24093,0.28899,0.19237,0.08883,0.16609,0.3512,0.13916,0.07351,2.1293,4.11474,0.13479,2.7678,1.77531,0.00104581,0.00104581,0.00104581
35,203.122,1.55194,2.73964,0.29377,1.58523,1.29281,0.30093,0.19323,0.18001,0.06926,0.17562,0.32365,0.13178,0.05645,2.03229,4.29504,0.13305,2.52096,1.72087,0.00103962,0.00103962,0.00103962
36,207.173,1.52751,2.72426,0.31017,1.53342,1.28314,0.26673,0.2543,0.21019,0.09038,0.20095,0.22792,0.1313,0.06562,2.03046,4.55665,0.13175,2.6852,1.7129,0.00103344,0.00103344,0.00103344
37,211.551,1.52143,2.59308,0.28329,1.48883,1.2686,0.26673,0.2543,0.21019,0.09038,0.20095,0.22792,0.1313,0.06562,2.03046,4.55665,0.13175,2.6852,1.7129,0.00102725,0.00102725,0.00102725
38,216.332,1.46547,2.50441,0.27961,1.45423,1.2465,0.19302,0.27603,0.16629,0.07002,0.12365,0.20024,0.11505,0.06504,2.03249,4.17285,0.1153,3.25645,1.68009,0.00102106,0.00102106,0.00102106
39,220.403,1.50888,2.49626,0.2821,1.48083,1.27378,0.30266,0.19203,0.2016,0.08076,0.22592,0.14586,0.12984,0.05398,2.03118,4.08102,0.10326,3.23055,1.7159,0.00101488,0.00101488,0.00101488
40,224.516,1.53673,2.52732,0.28491,1.47977,1.28262,0.20329,0.19359,0.1564,0.05601,0.11242,0.23934,0.10371,0.05269,2.02367,4.05465,0.10438,3.12852,1.72707,0.00100869,0.00100869,0.00100869
41,229.62,1.4834,2.46697,0.28564,1.49147,1.28253,0.20329,0.19359,0.1564,0.05601,0.11242,0.23934,0.10371,0.05269,2.02367,4.05465,0.10438,3.12852,1.72707,0.0010025,0.0010025,0.0010025
42,234.321,1.46004,2.45342,0.27045,1.40869,1.22301,0.15077,0.23332,0.12523,0.06118,0.16364,0.28557,0.13271,0.06227,1.97747,4.06005,0.11012,2.46916,1.69486,0.000996313,0.000996313,0.000996313
43,238.358,1.42403,2.38609,0.27353,1.42033,1.25585,0.37496,0.15949,0.17863,0.08521,0.13704,0.22241,0.11833,0.06008,2.05427,4.15709,0.1152,2.45512,1.80096,0.000990125,0.000990125,0.000990125
44,242.576,1.44677,2.31534,0.23814,1.40436,1.22497,0.25844,0.17525,0.15596,0.06694,0.12358,0.18914,0.09451,0.05503,2.1239,4.64444,0.11406,2.52921,1.82555,0.000983938,0.000983938,0.000983938
45,247.621,1.48722,2.50883,0.26037,1.43016,1.24164,0.25844,0.17525,0.15596,0.06694,0.12358,0.18914,0.09451,0.05503,2.1239,4.64444,0.11406,2.52921,1.82555,0.00097775,0.00097775,0.00097775
46,252.378,1.38353,2.28275,0.26109,1.37081,1.20076,0.33078,0.1878,0.16751,0.07393,0.14321,0.18554,0.09756,0.05366,2.12971,4.52188,0.11452,2.46447,1.77202,0.000971562,0.000971562,0.000971562
47,256.518,1.39667,2.206,0.27606,1.35514,1.2144,0.18594,0.25336,0.18188,0.08301,0.17405,0.22136,0.1284,0.07501,2.06003,4.23562,0.11124,2.20935,1.68836,0.000965375,0.000965375,0.000965375
48,260.881,1.33811,2.10949,0.2628,1.3208,1.17557,0.29311,0.2189,0.18546,0.09135,0.25023,0.19718,0.14852,0.08405,2.00536,4.10162,0.1086,2.14165,1.6942,0.000959187,0.000959187,0.000959187
49,266.04,1.39609,2.17881,0.24526,1.32662,1.1925,0.29311,0.2189,0.18546,0.09135,0.25023,0.19718,0.14852,0.08405,2.00536,4.10162,0.1086,2.14165,1.6942,0.000953,0.000953,0.000953
50,270.242,1.35028,2.18153,0.25557,1.30742,1.16752,0.20861,0.24163,0.14239,0.07037,0.20733,0.2198,0.15306,0.0872,2.05407,3.95601,0.10979,2.33028,1.70597,0.000946812,0.000946812,0.000946812
51,274.312,1.38122,2.20507,0.26953,1.31738,1.21325,0.361,0.1676,0.1603,0.07416,0.26824,0.19312,0.15092,0.09077,2.04193,3.94186,0.10926,2.43444,1.67458,0.000940625,0.000940625,0.000940625
52,278.893,1.3234,2.04989,0.25371,1.22404,1.14428,0.29084,0.19808,0.16598,0.07601,0.2484,0.17384,0.12101,0.06922,2.1474,4.10875,0.11278,2.36697,1.74842,0.000934438,0.000934438,0.000934438
53,283.799,1.31083,2.08532,0.2361,1.25001,1.14299,0.29084,0.19808,0.16598,0.07601,0.2484,0.17384,0.12101,0.06922,2.1474,4.10875,0.11278,2.36697,1.74842,0.00092825,0.00092825,0.00092825
54,287.833,1.32619,2.05028,0.24055,1.24355,1.14775,0.28004,0.21904,0.17537,0.07995,0.24819,0.19016,0.12774,0.07387,2.08921,3.98721,0.1174,2.35935,1.70398,0.000922063,0.000922063,0.000922063
55,291.866,1.31231,1.99408,0.23095,1.26368,1.16041,0.24236,0.1869,0.15862,0.07367,0.2633,0.20734,0.15154,0.07665,2.06736,3.95245,0.1185,2.3124,1.67838,0.000915875,0.000915875,0.000915875
56,296.134,1.22929,1.81724,0.22616,1.17817,1.13386,0.35019,0.15106,0.18348,0.08116,0.35305,0.15901,0.1766,0.084,2.05843,3.95693,0.10873,2.30416,1.71853,0.000909688,0.000909688,0.000909688
57,300.938,1.37321,2.16577,0.24911,1.29158,1.19051,0.35019,0.15106,0.18348,0.08116,0.35305,0.15901,0.1766,0.084,2.05843,3.95693,0.10873,2.30416,1.71853,0.0009035,0.0009035,0.0009035
58,304.958,1.27138,1.87883,0.23665,1.17674,1.14577,0.23611,0.21989,0.19472,0.0873,0.39086,0.19782,0.24374,0.14386,2.04798,3.87842,0.09772,2.23298,1.70604,0.000897313,0.000897313,0.000897313
59,309.157,1.29642,1.97578,0.2337,1.18428,1.14516,0.17252,0.29215,0.18578,0.08859,0.42812,0.19305,0.23621,0.12817,2.05562,4.19248,0.10578,2.25722,1.68709,0.000891125,0.000891125,0.000891125
60,313.593,1.22849,1.87962,0.23944,1.13747,1.14887,0.20352,0.24106,0.15423,0.07739,0.44092,0.19913,0.25741,0.15284,2.08607,4.2058,0.11181,2.25285,1.69788,0.000884938,0.000884938,0.000884938
61,318.281,1.27618,1.87592,0.2294,1.17266,1.1588,0.20352,0.24106,0.15423,0.07739,0.44092,0.19913,0.25741,0.15284,2.08607,4.2058,0.11181,2.25285,1.69788,0.00087875,0.00087875,0.00087875
62,322.32,1.26756,1.85932,0.23069,1.13196,1.1475,0.44514,0.17174,0.175,0.07492,0.4356,0.16963,0.18052,0.1135,2.1347,4.00132,0.10571,2.25195,1.72936,0.000872563,0.000872563,0.000872563
63,326.505,1.2789,1.85948,0.2328,1.13796,1.14621,0.34329,0.14935,0.14096,0.06738,0.1492,0.27152,0.14243,0.08429,2.25098,4.24184,0.10749,2.36663,1.84818,0.000866375,0.000866375,0.000866375
64,330.908,1.23352,1.7063,0.22932,1.0957,1.1398,0.5161,0.16399,0.22781,0.10535,0.51318,0.1989,0.253,0.12307,2.10447,4.17138,0.1051,2.20169,1.74395,0.000860188,0.000860188,0.000860188
65,335.964,1.18302,1.70234,0.22633,1.05522,1.11725,0.5161,0.16399,0.22781,0.10535,0.51318,0.1989,0.253,0.12307,2.10447,4.17138,0.1051,2.20169,1.74395,0.000854,0.000854,0.000854
66,340.162,1.16681,1.59533,0.24006,1.04688,1.08421,0.31193,0.24474,0.24767,0.11551,0.32577,0.2774,0.27595,0.12749,2.05506,3.96945,0.10225,2.13251,1.70743,0.000847813,0.000847813,0.000847813
67,344.615,1.21822,1.77994,0.23266,1.05141,1.10979,0.32638,0.20555,0.22006,0.10076,0.32455,0.22292,0.22009,0.10692,2.10056,3.8923,0.10488,2.19597,1.74741,0.000841625,0.000841625,0.000841625
68,349.887,1.21354,1.71386,0.20122,1.0233,1.08794,0.3477,0.17815,0.2041,0.07337,0.16734,0.22265,0.15927,0.06817,2.13823,3.95471,0.09897,2.22723,1.76914,0.000835438,0.000835438,0.000835438
69,354.529,1.18571,1.70411,0.22226,1.01719,1.08167,0.3477,0.17815,0.2041,0.07337,0.16734,0.22265,0.15927,0.06817,2.13823,3.95471,0.09897,2.22723,1.76914,0.00082925,0.00082925,0.00082925
70,358.572,1.16146,1.6429,0.20828,0.97711,1.05337,0.28715,0.24341,0.22356,0.08697,0.29165,0.25017,0.22764,0.10314,2.10866,3.96584,0.10111,2.20881,1.72462,0.000823063,0.000823063,0.000823063
71,362.893,1.16022,1.67539,0.2137,0.99238,1.06305,0.32968,0.24235,0.22667,0.10627,0.32802,0.24406,0.23899,0.1393,2.17171,4.1463,0.11078,2.29564,1.79412,0.000816875,0.000816875,0.000816875
