epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,202.119,1.73756,3.43031,0.29562,1.65858,1.36701,0.19202,0.22169,0.12641,0.05371,0.18821,0.32016,0.17115,0.06734,2.3229,4.87822,0.11617,5.19037,1.84004,0.00108913,0.00108913,0.00108913
28,213.565,1.74996,3.40623,0.29883,1.664,1.37807,0.19202,0.22169,0.12641,0.05371,0.18821,0.32016,0.17115,0.06734,2.3229,4.87822,0.11617,5.19037,1.84004,0.00108294,0.00108294,0.00108294
29,227.088,1.76516,3.29689,0.32783,1.69361,1.40184,0.178,0.2613,0.14035,0.06081,0.21474,0.2967,0.148,0.07017,2.28434,4.68038,0.10926,4.15627,1.8244,0.00107675,0.00107675,0.00107675
30,243.614,1.73114,3.29265,0.32362,1.64656,1.38764,0.22615,0.31269,0.17731,0.06171,0.20987,0.25702,0.13129,0.05832,2.35935,4.84285,0.11947,3.41493,1.76781,0.00107056,0.00107056,0.00107056
31,250.126,1.81914,3.4764,0.30686,1.67467,1.40429,0.18218,0.28069,0.16063,0.06848,0.14044,0.30895,0.10722,0.04995,2.3014,4.75363,0.1158,3.499,1.71581,0.00106437,0.00106437,0.00106437
32,257.572,1.65408,2.9597,0.26641,1.56869,1.30169,0.127,0.22886,0.10277,0.04458,0.09405,0.30686,0.09113,0.04361,2.41077,4.97271,0.12627,4.92886,1.87086,0.00105819,0.00105819,0.00105819
33,262.872,1.69096,3.00986,0.28003,1.57411,1.3595,0.127,0.22886,0.10277,0.04458,0.09405,0.30686,0.09113,0.04361,2.41077,4.97271,0.12627,4.92886,1.87086,0.001052,0.001052,0.001052
34,267.93,1.62912,3.05847,0.29181,1.55586,1.32704,0.10104,0.23107,0.09603,0.04012,0.1066,0.36444,0.11488,0.05263,2.35469,4.7779,0.11426,4.88224,1.77796,0.00104581,0.00104581,0.00104581
35,278.389,1.63534,2.92152,0.28233,1.48182,1.29268,0.21925,0.19572,0.14644,0.04875,0.24441,0.32923,0.21203,0.08742,2.26028,4.54957,0.1074,3.34339,1.67568,0.00103962,0.00103962,0.00103962
36,294.79,1.61211,2.92,0.30247,1.52892,1.30406,0.24481,0.19425,0.15397,0.05244,0.2537,0.34348,0.21035,0.11177,2.24448,4.43964,0.1107,2.97463,1.67612,0.00103344,0.00103344,0.00103344
37,308.781,1.63035,3.03865,0.2472,1.49028,1.26379,0.2467,0.26652,0.17549,0.05336,0.24371,0.28643,0.18296,0.10348,2.31166,4.53549,0.114,2.91502,1.75283,0.00102725,0.00102725,0.00102725
38,316.784,1.75094,3.19825,0.26198,1.5961,1.31977,0.2467,0.26652,0.17549,0.05336,0.24371,0.28643,0.18296,0.10348,2.31166,4.53549,0.114,2.91502,1.75283,0.00102106,0.00102106,0.00102106
39,325.235,1.68004,2.99329,0.32358,1.58805,1.36355,0.10643,0.32639,0.10844,0.04712,0.17815,0.27925,0.12138,0.06205,2.39142,4.71177,0.11313,3.16554,1.83101,0.00101488,0.00101488,0.00101488
40,335.239,1.62302,2.87786,0.27909,1.50517,1.31551,0.18137,0.27054,0.1293,0.0508,0.16212,0.32422,0.12337,0.05897,2.3535,4.69282,0.10981,2.78773,1.82071,0.00100869,0.00100869,0.00100869
41,341.312,1.60363,2.8853,0.23687,1.41119,1.26307,0.18028,0.28286,0.12995,0.04987,0.21046,0.29189,0.13913,0.07345,2.27842,4.40136,0.11208,2.61479,1.7757,0.0010025,0.0010025,0.0010025
42,346.648,1.59222,2.89242,0.26464,1.43221,1.27254,0.22244,0.229,0.11812,0.05137,0.22649,0.25875,0.12269,0.06715,2.29811,4.61046,0.12391,2.71234,1.77678,0.000996313,0.000996313,0.000996313
43,355.642,1.57023,2.82659,0.2879,1.44312,1.27802,0.22244,0.229,0.11812,0.05137,0.22649,0.25875,0.12269,0.06715,2.29811,4.61046,0.12391,2.71234,1.77678,0.000990125,0.000990125,0.000990125
44,359.989,1.49429,2.57443,0.25783,1.38027,1.23998,0.14707,0.33034,0.12152,0.05246,0.32706,0.22812,0.14994,0.08585,2.32131,4.58191,0.11052,2.5494,1.78629,0.000983938,0.000983938,0.000983938
45,365.559,1.54209,2.67352,0.25987,1.39703,1.25258,0.26458,0.27765,0.1761,0.06009,0.23158,0.2491,0.15726,0.08226,2.21097,4.52909,0.10623,2.43782,1.73383,0.00097775,0.00097775,0.00097775
46,371.851,1.59304,2.87473,0.23832,1.40259,1.25846,0.24935,0.25265,0.13132,0.06065,0.26517,0.27931,0.14702,0.07764,2.27472,4.46934,0.10796,2.45102,1.7386,0.000971562,0.000971562,0.000971562
47,378.32,1.44958,2.54485,0.24683,1.31967,1.21152,0.26054,0.25888,0.15941,0.063,0.26408,0.26113,0.1612,0.08571,2.20588,4.24626,0.10492,2.51726,1.67512,0.000965375,0.000965375,0.000965375
48,383.473,1.52331,2.61345,0.25424,1.42184,1.22988,0.26054,0.25888,0.15941,0.063,0.26408,0.26113,0.1612,0.08571,2.20588,4.24626,0.10492,2.51726,1.67512,0.000959187,0.000959187,0.000959187
49,388.155,1.5363,2.64577,0.24966,1.42395,1.25825,0.17638,0.20316,0.12321,0.06119,0.33071,0.2283,0.21282,0.08513,2.10427,4.253,0.09407,2.34772,1.62537,0.000953,0.000953,0.000953
50,392.157,1.49645,2.55336,0.25777,1.34255,1.26555,0.24477,0.21805,0.15096,0.07139,0.32817,0.2646,0.19001,0.08897,2.14073,4.19919,0.09287,2.18119,1.64671,0.000946812,0.000946812,0.000946812
51,396.465,1.50719,2.59497,0.28261,1.38243,1.27449,0.26401,0.22475,0.16063,0.07998,0.3274,0.31383,0.24468,0.13747,2.10139,4.10064,0.09639,2.01637,1.64538,0.000940625,0.000940625,0.000940625
52,402.53,1.49275,2.54214,0.25764,1.32494,1.24342,0.28463,0.35198,0.2049,0.07789,0.36566,0.32141,0.2562,0.14396,2.21668,4.22869,0.10074,2.1212,1.69104,0.000934438,0.000934438,0.000934438
53,413.44,1.41248,2.23599,0.23898,1.26111,1.18039,0.28463,0.35198,0.2049,0.07789,0.36566,0.32141,0.2562,0.14396,2.21668,4.22869,0.10074,2.1212,1.69104,0.00092825,0.00092825,0.00092825
54,423.825,1.43125,2.28759,0.24529,1.28209,1.21585,0.27017,0.29796,0.20866,0.08108,0.22151,0.27776,0.16113,0.08225,2.20518,4.3388,0.09449,2.09562,1.68925,0.000922063,0.000922063,0.000922063
55,429.495,1.48576,2.42833,0.22573,1.32543,1.20882,0.28766,0.2425,0.18332,0.06397,0.22246,0.21333,0.15051,0.07039,2.23399,4.546,0.09994,2.12161,1.68761,0.000915875,0.000915875,0.000915875
56,434.702,1.52221,2.60538,0.23704,1.33509,1.23132,0.33995,0.21108,0.18815,0.06932,0.21502,0.244,0.13872,0.07072,2.28488,4.48065,0.1067,2.07197,1.73861,0.000909688,0.000909688,0.000909688
57,441.694,1.35287,2.21001,0.21657,1.1796,1.13334,0.41846,0.31056,0.22625,0.07621,0.39745,0.33013,0.24221,0.10494,2.22517,4.33005,0.10415,2.02549,1.70621,0.0009035,0.0009035,0.0009035
58,445.66,1.36163,2.46705,0.24775,1.21899,1.17632,0.41846,0.31056,0.22625,0.07621,0.39745,0.33013,0.24221,0.10494,2.22517,4.33005,0.10415,2.02549,1.70621,0.000897313,0.000897313,0.000897313
59,452.553,1.37201,2.18765,0.22425,1.14387,1.14907,0.31846,0.35391,0.21395,0.08581,0.32049,0.35566,0.23966,0.14078,2.20957,4.20954,0.10624,1.96809,1.71519,0.000891125,0.000891125,0.000891125
60,462.524,1.35037,2.16215,0.23607,1.17413,1.1638,0.25577,0.36945,0.19956,0.08656,0.26575,0.40093,0.23806,0.14362,2.20524,4.15672,0.09965,1.97874,1.67876,0.000884938,0.000884938,0.000884938
61,472.404,1.3785,2.19467,0.21436,1.18501,1.14662,0.26343,0.32929,0.17613,0.08548,0.23911,0.29815,0.15658,0.09462,2.12919,4.21894,0.09726,2.05568,1.6204,0.00087875,0.00087875,0.00087875
62,476.747,1.33344,2.12517,0.24001,1.17243,1.15008,0.31754,0.31125,0.18631,0.08859,0.29001,0.28406,0.17018,0.10115,2.16556,4.31443,0.10623,2.01865,1.63119,0.000872563,0.000872563,0.000872563
63,481.654,1.36486,2.09512,0.25107,1.17649,1.17122,0.31754,0.31125,0.18631,0.08859,0.29001,0.28406,0.17018,0.10115,2.16556,4.31443,0.10623,2.01865,1.63119,0.000866375,0.000866375,0.000866375
64,491.527,1.33414,2.07614,0.20972,1.0933,1.13958,0.35369,0.28089,0.21101,0.09389,0.33573,0.33109,0.213,0.12933,2.18958,4.10899,0.10605,1.93337,1.6208,0.000860188,0.000860188,0.000860188
65,496.051,1.37576,2.26112,0.23569,1.13228,1.13961,0.30875,0.28716,0.23194,0.08922,0.30912,0.32942,0.27615,0.1688,2.17224,4.02258,0.10269,2.01989,1.63809,0.000854,0.000854,0.000854
66,502.212,1.32876,2.16851,0.24751,1.14399,1.15005,0.30891,0.28203,0.22919,0.091,0.31233,0.30686,0.25177,0.13474,2.17694,4.08899,0.09976,2.05321,1.68309,0.000847813,0.000847813,0.000847813
67,506.498,1.3381,2.20153,0.2486,1.11419,1.13968,0.2641,0.25833,0.22694,0.09804,0.20065,0.34257,0.21395,0.11146,2.2559,4.5147,0.09885,2.15747,1.71375,0.000841625,0.000841625,0.000841625
68,513.527,1.38537,2.00337,0.27105,1.15265,1.19068,0.2641,0.25833,0.22694,0.09804,0.20065,0.34257,0.21395,0.11146,2.2559,4.5147,0.09885,2.15747,1.71375,0.000835438,0.000835438,0.000835438
69,523.6,1.31249,1.98793,0.25865,1.1074,1.16692,0.32334,0.25543,0.22461,0.09777,0.32954,0.28187,0.24459,0.1444,2.2648,4.603,0.09605,2.15192,1.73604,0.00082925,0.00082925,0.00082925
70,530.324,1.28662,1.95599,0.21263,1.04315,1.11631,0.29377,0.30751,0.24017,0.08751,0.47906,0.26101,0.2506,0.1728,2.2691,4.47566,0.09026,2.10233,1.71116,0.000823063,0.000823063,0.000823063
71,544.159,1.35659,2.01933,0.19583,1.07179,1.1255,0.41587,0.26034,0.24215,0.10215,0.46058,0.27451,0.25847,0.1828,2.21783,4.32049,0.09243,2.02145,1.67059,0.000816875,0.000816875,0.000816875
72,550.237,1.22513,1.83666,0.24666,1.08243,1.12219,0.32745,0.22904,0.19573,0.07385,0.41699,0.28452,0.218,0.11274,2.25879,4.3982,0.10263,2.09204,1.69343,0.000810688,0.000810688,0.000810688
73,560.095,1.26516,1.94722,0.20822,1.04842,1.1046,0.32745,0.22904,0.19573,0.07385,0.41699,0.28452,0.218,0.11274,2.25879,4.3982,0.10263,2.09204,1.69343,0.0008045,0.0008045,0.0008045
74,566.205,1.26982,1.86157,0.23303,1.05141,1.12752,0.29564,0.28509,0.20414,0.07941,0.36873,0.24266,0.20609,0.11646,2.25215,4.41746,0.10786,2.11058,1.69263,0.000798313,0.000798313,0.000798313
75,576.853,1.22697,1.77445,0.2313,1.05611,1.11951,0.37555,0.25317,0.18167,0.08028,0.55961,0.2699,0.26074,0.1255,2.19229,4.40896,0.10752,2.0966,1.70131,0.000792125,0.000792125,0.000792125
76,582.343,1.29324,1.95836,0.25007,1.08883,1.14284,0.38625,0.24636,0.17372,0.0731,0.42938,0.21188,0.19418,0.1045,2.23006,4.42057,0.10942,2.09476,1.72475,0.000785938,0.000785938,0.000785938
77,587.82,1.21499,1.72935,0.23391,1.04129,1.12264,0.33363,0.25317,0.18371,0.06976,0.32472,0.23003,0.16434,0.08654,2.26733,4.34539,0.11338,2.03688,1.75776,0.00077975,0.00077975,0.00077975
