epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,120.121,2.08345,6.24358,0.50835,2.22249,1.5608,0.36005,0.16215,0.0963,0.03953,0.32056,0.11524,0.04042,0.01422,2.59784,6.67739,0.50516,3.14058,1.98256,0.000898838,0.000898838,0.000898838
29,122.161,2.08068,6.10233,0.48983,2.18842,1.55083,0.36005,0.16215,0.0963,0.03953,0.32056,0.11524,0.04042,0.01422,2.59784,6.67739,0.50516,3.14058,1.98256,0.000926005,0.000926005,0.000926005
30,124.153,2.17706,6.21102,0.47999,2.16159,1.57191,0.36553,0.19616,0.08486,0.03324,0.34944,0.09819,0.03914,0.01305,2.69419,6.65431,0.49117,2.9955,2.06009,0.000952801,0.000952801,0.000952801
31,126.317,2.21166,6.27162,0.49004,2.24176,1.60022,0.09799,0.16152,0.07158,0.0264,0.09068,0.13565,0.03942,0.01277,2.67608,6.59154,0.48879,2.94603,2.03364,0.000979225,0.000979225,0.000979225
32,128.501,2.10864,6.17704,0.49805,2.13537,1.57342,0.11782,0.17059,0.07705,0.033,0.08868,0.15933,0.04692,0.01418,2.61368,6.52697,0.47205,2.99814,1.99123,0.00100528,0.00100528,0.00100528
33,130.872,2.05807,6.02494,0.48618,2.14671,1.54318,0.11782,0.17059,0.07705,0.033,0.08868,0.15933,0.04692,0.01418,2.61368,6.52697,0.47205,2.99814,1.99123,0.00103096,0.00103096,0.00103096
34,134.283,2.06365,5.98596,0.47618,2.16262,1.53151,0.14675,0.18804,0.1166,0.0463,0.0932,0.11625,0.05228,0.01729,2.54717,6.4821,0.44584,2.98763,1.94243,0.00104581,0.00104581,0.00104581
35,137.573,2.00428,5.9063,0.47389,2.10715,1.49719,0.18382,0.15281,0.12381,0.05054,0.11412,0.1146,0.05235,0.01489,2.524,6.43753,0.43456,2.78229,1.90635,0.00103962,0.00103962,0.00103962
36,140.359,2.02893,5.94846,0.48187,2.11496,1.52561,0.17519,0.15338,0.11324,0.04873,0.10323,0.11743,0.04437,0.0123,2.49234,6.43717,0.43528,2.723,1.86834,0.00103344,0.00103344,0.00103344
37,142.443,2.04565,5.99679,0.46817,2.10811,1.51665,0.17519,0.15338,0.11324,0.04873,0.10323,0.11743,0.04437,0.0123,2.49234,6.43717,0.43528,2.723,1.86834,0.00102725,0.00102725,0.00102725
